,Date,Home,homeGoals,Visitor,awayGoals
644,2017-01-14,Edmonton Oilers,2,Calgary Flames,1
670,2017-01-18,Detroit Red Wings,6,Boston Bruins,5
686,2017-01-20,Edmonton Oilers,2,Nashville Predators,3
698,2017-01-21,Toronto Maple Leafs,2,Ottawa Senators,3
714,2017-01-24,Dallas Stars,2,Minnesota Wild,3
778,2017-02-04,San Jose Sharks,2,Arizona Coyotes,3
780,2017-02-04,Tampa Bay Lightning,3,Anaheim Ducks,2
782,2017-02-05,Montreal Canadiens,0,Edmonton Oilers,1
794,2017-02-07,Pittsburgh Penguins,2,Calgary Flames,3
811,2017-02-10,Minnesota Wild,2,Tampa Bay Lightning,1
860,2017-02-18,Detroit Red Wings,3,Washington Capitals,2
886,2017-02-21,New York Rangers,2,Montreal Canadiens,3
897,2017-02-23,Toronto Maple Leafs,1,New York Rangers,2
924,2017-02-28,Florida Panthers,3,Carolina Hurricanes,2
938,2017-03-02,Los Angeles Kings,3,Toronto Maple Leafs,2
941,2017-03-02,Philadelphia Flyers,2,Florida Panthers,1
947,2017-03-03,Chicago Blackhawks,2,New York Islanders,1
951,2017-03-04,Buffalo Sabres,1,Tampa Bay Lightning,2
971,2017-03-07,Anaheim Ducks,4,Nashville Predators,3
995,2017-03-10,Edmonton Oilers,2,Pittsburgh Penguins,3
1015,2017-03-13,Calgary Flames,4,Pittsburgh Penguins,3
1025,2017-03-14,Los Angeles Kings,2,Arizona Coyotes,3
1034,2017-03-16,Arizona Coyotes,4,Detroit Red Wings,5
1046,2017-03-17,Anaheim Ducks,1,Buffalo Sabres,2
1048,2017-03-17,New York Rangers,3,Florida Panthers,4
1056,2017-03-18,Ottawa Senators,3,Montreal Canadiens,4
1087,2017-03-23,Chicago Blackhawks,3,Dallas Stars,2
1094,2017-03-23,Ottawa Senators,2,Pittsburgh Penguins,1
1097,2017-03-23,Washington Capitals,2,Columbus Blue Jackets,1
1101,2017-03-24,Pittsburgh Penguins,3,New York Islanders,4
1131,2017-03-28,New Jersey Devils,3,Winnipeg Jets,4
1132,2017-03-28,Philadelphia Flyers,3,Ottawa Senators,2
1152,2017-03-31,Colorado Avalanche,2,St. Louis Blues,1
1154,2017-03-31,New York Rangers,3,Pittsburgh Penguins,4
1176,2017-04-03,Detroit Red Wings,5,Ottawa Senators,4
1195,2017-04-06,Boston Bruins,1,Ottawa Senators,2
1208,2017-04-08,Carolina Hurricanes,4,St. Louis Blues,5
1209,2017-04-08,Dallas Stars,4,Colorado Avalanche,3
1225,2017-04-09,Philadelphia Flyers,3,Carolina Hurricanes,4
6,2017-10-05,Buffalo Sabres,2,Montreal Canadiens,3
11,2017-10-05,Ottawa Senators,4,Washington Capitals,5
17,2017-10-07,Carolina Hurricanes,5,Minnesota Wild,4
23,2017-10-07,Ottawa Senators,1,Detroit Red Wings,2
35,2017-10-09,New York Islanders,2,St. Louis Blues,3
43,2017-10-10,Vancouver Canucks,2,Ottawa Senators,3
82,2017-10-17,New Jersey Devils,5,Tampa Bay Lightning,4
100,2017-10-19,New York Rangers,3,New York Islanders,4
129,2017-10-24,Nashville Predators,2,Calgary Flames,3
131,2017-10-24,Ottawa Senators,2,Los Angeles Kings,3
152,2017-10-27,New Jersey Devils,5,Ottawa Senators,4
158,2017-10-28,Florida Panthers,2,Detroit Red Wings,3
166,2017-10-29,Carolina Hurricanes,3,Anaheim Ducks,4
169,2017-10-30,Columbus Blue Jackets,4,Boston Bruins,3
199,2017-11-04,Arizona Coyotes,2,Carolina Hurricanes,1
206,2017-11-04,Philadelphia Flyers,4,Colorado Avalanche,5
207,2017-11-04,San Jose Sharks,2,Anaheim Ducks,1
209,2017-11-04,Tampa Bay Lightning,5,Columbus Blue Jackets,4
212,2017-11-05,Calgary Flames,5,New Jersey Devils,4
219,2017-11-06,Toronto Maple Leafs,4,Vegas Golden Knights,3
240,2017-11-09,St. Louis Blues,3,Arizona Coyotes,2
251,2017-11-11,Detroit Red Wings,1,Columbus Blue Jackets,2
254,2017-11-11,Nashville Predators,5,Pittsburgh Penguins,4
263,2017-11-12,Washington Capitals,2,Edmonton Oilers,1
267,2017-11-14,Florida Panthers,4,Dallas Stars,3
288,2017-11-16,Winnipeg Jets,3,Philadelphia Flyers,2
312,2017-11-20,San Jose Sharks,2,Anaheim Ducks,3
325,2017-11-22,Florida Panthers,2,Toronto Maple Leafs,1
327,2017-11-22,New Jersey Devils,2,Boston Bruins,3
328,2017-11-22,Nashville Predators,3,Montreal Canadiens,2
340,2017-11-24,Minnesota Wild,3,Colorado Avalanche,2
351,2017-11-25,Los Angeles Kings,2,Anaheim Ducks,1
359,2017-11-26,Carolina Hurricanes,4,Nashville Predators,3
360,2017-11-26,New York Rangers,4,Vancouver Canucks,3
367,2017-11-28,Columbus Blue Jackets,3,Carolina Hurricanes,2
398,2017-12-02,Dallas Stars,3,Chicago Blackhawks,2
401,2017-12-02,Nashville Predators,3,Anaheim Ducks,2
412,2017-12-04,Florida Panthers,4,New York Islanders,5
424,2017-12-05,Vegas Golden Knights,4,Anaheim Ducks,3
427,2017-12-06,Toronto Maple Leafs,2,Calgary Flames,1
441,2017-12-08,Nashville Predators,3,Vegas Golden Knights,4
462,2017-12-11,New York Rangers,1,Dallas Stars,2
468,2017-12-12,Minnesota Wild,2,Calgary Flames,1
472,2017-12-12,Vegas Golden Knights,2,Carolina Hurricanes,3
528,2017-12-21,Boston Bruins,2,Winnipeg Jets,1
532,2017-12-21,New Jersey Devils,4,New York Rangers,3
535,2017-12-21,Pittsburgh Penguins,3,Columbus Blue Jackets,2
537,2017-12-21,Tampa Bay Lightning,4,Ottawa Senators,3
545,2017-12-23,Columbus Blue Jackets,2,Philadelphia Flyers,1
546,2017-12-23,Dallas Stars,4,Nashville Predators,3
564,2017-12-27,New York Rangers,1,Washington Capitals,0
565,2017-12-27,Pittsburgh Penguins,5,Columbus Blue Jackets,4
571,2017-12-28,San Jose Sharks,3,Calgary Flames,2
574,2017-12-28,Washington Capitals,4,Boston Bruins,3
579,2017-12-29,Detroit Red Wings,3,New York Rangers,2
609,2018-01-02,St. Louis Blues,3,New Jersey Devils,2
619,2018-01-04,Edmonton Oilers,2,Anaheim Ducks,1
621,2018-01-04,Montreal Canadiens,2,Tampa Bay Lightning,1
625,2018-01-04,Toronto Maple Leafs,3,San Jose Sharks,2
631,2018-01-06,Arizona Coyotes,1,New York Rangers,2
639,2018-01-06,Toronto Maple Leafs,3,Vancouver Canucks,2
640,2018-01-07,Columbus Blue Jackets,3,Florida Panthers,2
644,2018-01-07,New York Islanders,5,New Jersey Devils,4
671,2018-01-13,Montreal Canadiens,3,Boston Bruins,4
685,2018-01-16,Arizona Coyotes,2,San Jose Sharks,3
693,2018-01-18,Columbus Blue Jackets,2,Dallas Stars,1
697,2018-01-18,Nashville Predators,3,Arizona Coyotes,2
707,2018-01-20,Calgary Flames,1,Winnipeg Jets,2
744,2018-01-25,Anaheim Ducks,4,Winnipeg Jets,3
748,2018-01-25,Edmonton Oilers,4,Calgary Flames,3
762,2018-01-30,Columbus Blue Jackets,2,Minnesota Wild,3
771,2018-01-31,Detroit Red Wings,2,San Jose Sharks,1
800,2018-02-03,Philadelphia Flyers,3,Ottawa Senators,4
823,2018-02-07,Toronto Maple Leafs,3,Nashville Predators,2
835,2018-02-09,Dallas Stars,4,Pittsburgh Penguins,3
841,2018-02-10,Arizona Coyotes,3,Philadelphia Flyers,4
846,2018-02-10,Montreal Canadiens,2,Nashville Predators,3
850,2018-02-11,Anaheim Ducks,2,San Jose Sharks,3
869,2018-02-13,Philadelphia Flyers,4,New Jersey Devils,5
896,2018-02-17,Minnesota Wild,2,Anaheim Ducks,3
926,2018-02-21,Chicago Blackhawks,3,Ottawa Senators,2
938,2018-02-22,Toronto Maple Leafs,4,New York Islanders,3
951,2018-02-24,Montreal Canadiens,3,Tampa Bay Lightning,4
956,2018-02-25,Anaheim Ducks,5,Edmonton Oilers,6
965,2018-02-26,Montreal Canadiens,0,Philadelphia Flyers,1
966,2018-02-26,Tampa Bay Lightning,4,Toronto Maple Leafs,3
1004,2018-03-03,Tampa Bay Lightning,7,Philadelphia Flyers,6
1034,2018-03-08,Edmonton Oilers,2,New York Islanders,1
1039,2018-03-08,Ottawa Senators,3,Buffalo Sabres,4
1047,2018-03-10,Buffalo Sabres,1,Vegas Golden Knights,2
1050,2018-03-10,Florida Panthers,4,New York Rangers,3
1052,2018-03-10,Nashville Predators,2,New Jersey Devils,3
1055,2018-03-10,Tampa Bay Lightning,3,Montreal Canadiens,2
1069,2018-03-13,Arizona Coyotes,4,Los Angeles Kings,3
1079,2018-03-14,Toronto Maple Leafs,6,Dallas Stars,5
1121,2018-03-20,Detroit Red Wings,5,Philadelphia Flyers,4
1150,2018-03-24,Colorado Avalanche,2,Vegas Golden Knights,1
1165,2018-03-25,Winnipeg Jets,5,Nashville Predators,4
1167,2018-03-26,Chicago Blackhawks,3,San Jose Sharks,4
1179,2018-03-27,Nashville Predators,2,Minnesota Wild,1
1183,2018-03-27,Winnipeg Jets,5,Boston Bruins,4
1235,2018-04-03,Vancouver Canucks,4,Vegas Golden Knights,5
1261,2018-04-07,Edmonton Oilers,3,Vancouver Canucks,2
21,2018-10-06,Minnesota Wild,1,Vegas Golden Knights,2
26,2018-10-06,Tampa Bay Lightning,2,Florida Panthers,1
31,2018-10-08,Anaheim Ducks,3,Detroit Red Wings,2
41,2018-10-10,Anaheim Ducks,2,Arizona Coyotes,3
63,2018-10-13,Montreal Canadiens,4,Pittsburgh Penguins,3
79,2018-10-16,New York Rangers,3,Colorado Avalanche,2
80,2018-10-16,Philadelphia Flyers,6,Florida Panthers,5
100,2018-10-19,Washington Capitals,5,Florida Panthers,6
131,2018-10-24,Vegas Golden Knights,2,Vancouver Canucks,3
143,2018-10-26,Carolina Hurricanes,4,San Jose Sharks,3
150,2018-10-27,Calgary Flames,3,Washington Capitals,4
175,2018-10-30,San Jose Sharks,3,New York Rangers,4
178,2018-11-01,Anaheim Ducks,2,New York Rangers,3
185,2018-11-01,New York Islanders,3,Pittsburgh Penguins,2
211,2018-11-05,New York Islanders,3,Montreal Canadiens,4
215,2018-11-06,Detroit Red Wings,3,Vancouver Canucks,2
242,2018-11-10,Buffalo Sabres,4,Vancouver Canucks,3
243,2018-11-10,Carolina Hurricanes,3,Detroit Red Wings,4
244,2018-11-10,Columbus Blue Jackets,4,New York Rangers,5
259,2018-11-12,Anaheim Ducks,2,Nashville Predators,1
286,2018-11-16,Chicago Blackhawks,1,Los Angeles Kings,2
290,2018-11-16,Winnipeg Jets,1,Buffalo Sabres,2
347,2018-11-24,Detroit Red Wings,2,Buffalo Sabres,3
381,2018-11-29,Boston Bruins,2,New York Islanders,1
410,2018-12-02,New York Rangers,3,Winnipeg Jets,4
417,2018-12-04,Detroit Red Wings,5,Tampa Bay Lightning,6
427,2018-12-05,St. Louis Blues,2,Edmonton Oilers,3
449,2018-12-08,Florida Panthers,4,New York Rangers,5
453,2018-12-09,Anaheim Ducks,6,New Jersey Devils,5
461,2018-12-10,New York Islanders,1,Pittsburgh Penguins,2
486,2018-12-14,Carolina Hurricanes,5,Washington Capitals,6
499,2018-12-15,Nashville Predators,2,New Jersey Devils,1
500,2018-12-15,New York Islanders,4,Detroit Red Wings,3
503,2018-12-15,Washington Capitals,4,Buffalo Sabres,3
533,2018-12-20,Calgary Flames,4,Tampa Bay Lightning,5
562,2018-12-23,New York Rangers,2,Philadelphia Flyers,3
563,2018-12-23,San Jose Sharks,3,Arizona Coyotes,4
605,2018-12-31,Detroit Red Wings,3,Florida Panthers,4
629,2019-01-04,Arizona Coyotes,2,New Jersey Devils,3
672,2019-01-10,Edmonton Oilers,4,Florida Panthers,3
713,2019-01-15,Minnesota Wild,3,Los Angeles Kings,2
724,2019-01-16,Vancouver Canucks,2,Edmonton Oilers,3
760,2019-01-22,Chicago Blackhawks,3,New York Islanders,2
772,2019-01-29,Boston Bruins,3,Winnipeg Jets,4
785,2019-02-01,New York Islanders,0,Tampa Bay Lightning,1
809,2019-02-05,Buffalo Sabres,5,Minnesota Wild,4
817,2019-02-05,Tampa Bay Lightning,2,Vegas Golden Knights,3
820,2019-02-06,New York Rangers,4,Boston Bruins,3
830,2019-02-07,New Jersey Devils,1,New York Islanders,2
833,2019-02-07,Philadelphia Flyers,2,Los Angeles Kings,3
848,2019-02-09,Vancouver Canucks,4,Calgary Flames,3
880,2019-02-14,Florida Panthers,3,Calgary Flames,2
881,2019-02-14,Los Angeles Kings,3,Vancouver Canucks,4
917,2019-02-19,Edmonton Oilers,2,Arizona Coyotes,3
927,2019-02-20,Vegas Golden Knights,2,Boston Bruins,3
936,2019-02-21,Tampa Bay Lightning,2,Buffalo Sabres,1
952,2019-02-23,St. Louis Blues,2,Boston Bruins,1
963,2019-02-25,Nashville Predators,3,Edmonton Oilers,2
964,2019-02-25,Tampa Bay Lightning,4,Los Angeles Kings,3
967,2019-02-26,Arizona Coyotes,4,Florida Panthers,3
979,2019-02-27,Colorado Avalanche,3,Vancouver Canucks,2
989,2019-02-28,Vegas Golden Knights,6,Florida Panthers,5
1011,2019-03-03,Minnesota Wild,2,Nashville Predators,3
1013,2019-03-03,New York Rangers,2,Washington Capitals,3
1023,2019-03-05,New Jersey Devils,1,Columbus Blue Jackets,2
1024,2019-03-05,Nashville Predators,5,Minnesota Wild,4
1025,2019-03-05,New York Islanders,5,Ottawa Senators,4
1034,2019-03-07,Chicago Blackhawks,5,Buffalo Sabres,4
1036,2019-03-07,Detroit Red Wings,3,New York Rangers,2
1097,2019-03-15,Vancouver Canucks,2,New Jersey Devils,3
1111,2019-03-17,Buffalo Sabres,4,St. Louis Blues,3
1113,2019-03-17,Dallas Stars,2,Vancouver Canucks,3
1121,2019-03-19,Carolina Hurricanes,3,Pittsburgh Penguins,2
1144,2019-03-21,Nashville Predators,1,Pittsburgh Penguins,2
1154,2019-03-23,Los Angeles Kings,4,Anaheim Ducks,3
1156,2019-03-23,New Jersey Devils,2,Arizona Coyotes,1
1187,2019-03-27,Philadelphia Flyers,5,Toronto Maple Leafs,4
1191,2019-03-28,Edmonton Oilers,2,Dallas Stars,3
1194,2019-03-28,Vancouver Canucks,3,Los Angeles Kings,2
1197,2019-03-29,Colorado Avalanche,3,Arizona Coyotes,2
1212,2019-03-30,Vancouver Canucks,3,Dallas Stars,2
1226,2019-04-01,St. Louis Blues,3,Colorado Avalanche,2
1239,2019-04-03,Chicago Blackhawks,4,St. Louis Blues,3
1245,2019-04-04,Florida Panthers,1,New York Islanders,2
1255,2019-04-05,New York Rangers,2,Columbus Blue Jackets,3
1263,2019-04-06,Montreal Canadiens,6,Toronto Maple Leafs,5
1269,2019-04-06,St. Louis Blues,3,Vancouver Canucks,2
5,2019-10-03,Carolina Hurricanes,4,Montreal Canadiens,3
13,2019-10-04,New Jersey Devils,4,Winnipeg Jets,5
28,2019-10-05,Toronto Maple Leafs,5,Montreal Canadiens,6
49,2019-10-10,Dallas Stars,2,Calgary Flames,3
51,2019-10-10,New Jersey Devils,3,Edmonton Oilers,4
57,2019-10-11,Buffalo Sabres,3,Florida Panthers,2
69,2019-10-12,New York Islanders,3,Florida Panthers,2
72,2019-10-12,Vancouver Canucks,3,Philadelphia Flyers,2
98,2019-10-17,Boston Bruins,3,Tampa Bay Lightning,4
103,2019-10-17,St. Louis Blues,3,Vancouver Canucks,4
104,2019-10-17,Vegas Golden Knights,3,Ottawa Senators,2
116,2019-10-19,Nashville Predators,2,Florida Panthers,3
127,2019-10-20,Winnipeg Jets,1,Edmonton Oilers,0
135,2019-10-22,Chicago Blackhawks,1,Vegas Golden Knights,2
145,2019-10-24,Calgary Flames,6,Florida Panthers,5
158,2019-10-25,Vancouver Canucks,5,Washington Capitals,6
176,2019-10-28,Buffalo Sabres,2,Arizona Coyotes,3
198,2019-11-01,New Jersey Devils,3,Philadelphia Flyers,4
213,2019-11-02,Philadelphia Flyers,3,Toronto Maple Leafs,4
233,2019-11-05,Winnipeg Jets,1,New Jersey Devils,2
257,2019-11-09,Pittsburgh Penguins,3,Chicago Blackhawks,2
258,2019-11-09,San Jose Sharks,2,Nashville Predators,1
260,2019-11-09,Toronto Maple Leafs,2,Philadelphia Flyers,3
263,2019-11-10,Boston Bruins,2,Philadelphia Flyers,3
266,2019-11-10,New York Rangers,5,Florida Panthers,6
270,2019-11-11,Washington Capitals,3,Arizona Coyotes,4
272,2019-11-12,Boston Bruins,4,Florida Panthers,5
274,2019-11-12,Montreal Canadiens,3,Columbus Blue Jackets,2
277,2019-11-12,St. Louis Blues,2,Arizona Coyotes,3
283,2019-11-13,Philadelphia Flyers,1,Washington Capitals,2
299,2019-11-16,Boston Bruins,2,Washington Capitals,3
307,2019-11-16,Philadelphia Flyers,3,New York Islanders,4
309,2019-11-16,San Jose Sharks,4,Detroit Red Wings,3
350,2019-11-23,Dallas Stars,2,Chicago Blackhawks,1
354,2019-11-23,Philadelphia Flyers,2,Calgary Flames,3
360,2019-11-23,Washington Capitals,1,Vancouver Canucks,2
361,2019-11-24,Arizona Coyotes,3,Edmonton Oilers,4
368,2019-11-25,Nashville Predators,3,St. Louis Blues,2
376,2019-11-27,Arizona Coyotes,4,Anaheim Ducks,3
400,2019-11-29,Vegas Golden Knights,2,Arizona Coyotes,1
416,2019-12-01,Minnesota Wild,3,Dallas Stars,2
438,2019-12-05,Carolina Hurricanes,3,San Jose Sharks,2
448,2019-12-06,New Jersey Devils,1,Chicago Blackhawks,2
462,2019-12-08,Chicago Blackhawks,3,Arizona Coyotes,4
477,2019-12-10,Minnesota Wild,2,Anaheim Ducks,3
500,2019-12-14,Anaheim Ducks,4,New York Rangers,3
510,2019-12-14,Pittsburgh Penguins,5,Los Angeles Kings,4
538,2019-12-19,Boston Bruins,2,New York Islanders,3
558,2019-12-21,New York Islanders,5,Anaheim Ducks,6
559,2019-12-21,Ottawa Senators,4,Philadelphia Flyers,5
593,2019-12-28,Dallas Stars,3,Colorado Avalanche,2
604,2019-12-29,Columbus Blue Jackets,2,Chicago Blackhawks,3
622,2019-12-31,New Jersey Devils,3,Boston Bruins,2
652,2020-01-05,Anaheim Ducks,5,Nashville Predators,4
655,2020-01-05,Minnesota Wild,4,Calgary Flames,5
676,2020-01-08,Toronto Maple Leafs,3,Winnipeg Jets,4
690,2020-01-10,Detroit Red Wings,3,Ottawa Senators,2
702,2020-01-12,Arizona Coyotes,3,Pittsburgh Penguins,4
710,2020-01-13,Philadelphia Flyers,6,Boston Bruins,5
721,2020-01-14,Tampa Bay Lightning,4,Los Angeles Kings,3
736,2020-01-16,Toronto Maple Leafs,1,Calgary Flames,2
747,2020-01-18,Montreal Canadiens,5,Vegas Golden Knights,4
754,2020-01-19,Carolina Hurricanes,2,New York Islanders,1
770,2020-01-27,Ottawa Senators,3,New Jersey Devils,4
774,2020-01-28,Calgary Flames,4,St. Louis Blues,5
777,2020-01-29,Edmonton Oilers,3,Calgary Flames,4
783,2020-01-30,New Jersey Devils,5,Nashville Predators,6
791,2020-02-01,Arizona Coyotes,2,Chicago Blackhawks,3
805,2020-02-02,Carolina Hurricanes,4,Vancouver Canucks,3
817,2020-02-04,New Jersey Devils,4,Montreal Canadiens,5
819,2020-02-04,Ottawa Senators,2,Anaheim Ducks,3
827,2020-02-06,Buffalo Sabres,3,Detroit Red Wings,4
851,2020-02-08,Vegas Golden Knights,5,Carolina Hurricanes,6
882,2020-02-13,Minnesota Wild,3,New York Rangers,4
906,2020-02-16,New Jersey Devils,4,Columbus Blue Jackets,3
930,2020-02-19,Vancouver Canucks,3,Minnesota Wild,4
947,2020-02-22,Los Angeles Kings,1,Colorado Avalanche,2
949,2020-02-22,Nashville Predators,4,Columbus Blue Jackets,3
978,2020-02-25,Washington Capitals,4,Winnipeg Jets,3
999,2020-02-29,Florida Panthers,2,Chicago Blackhawks,3
1004,2020-02-29,Ottawa Senators,4,Detroit Red Wings,3
1006,2020-02-29,St. Louis Blues,4,Dallas Stars,3
1034,2020-03-05,Los Angeles Kings,1,Toronto Maple Leafs,0
1060,2020-03-08,Detroit Red Wings,5,Tampa Bay Lightning,4
1064,2020-03-09,Buffalo Sabres,3,Washington Capitals,2
1076,2020-03-10,Vancouver Canucks,5,New York Islanders,4
5,2021-01-14,Arizona Coyotes,3,San Jose Sharks,4
10,2021-01-14,New Jersey Devils,2,Boston Bruins,3
31,2021-01-17,Pittsburgh Penguins,4,Washington Capitals,3
50,2021-01-20,St. Louis Blues,1,San Jose Sharks,2
52,2021-01-20,Vancouver Canucks,6,Montreal Canadiens,5
54,2021-01-21,Boston Bruins,5,Philadelphia Flyers,4
65,2021-01-22,Pittsburgh Penguins,4,New York Rangers,3
67,2021-01-22,Washington Capitals,4,Buffalo Sabres,3
83,2021-01-24,Washington Capitals,3,Buffalo Sabres,4
88,2021-01-26,Columbus Blue Jackets,3,Florida Panthers,4
95,2021-01-26,Vegas Golden Knights,4,St. Louis Blues,5
98,2021-01-27,Nashville Predators,2,Chicago Blackhawks,1
104,2021-01-28,Columbus Blue Jackets,3,Florida Panthers,2
115,2021-01-30,Buffalo Sabres,4,New Jersey Devils,3
128,2021-01-31,Carolina Hurricanes,4,Dallas Stars,3
137,2021-02-01,Winnipeg Jets,3,Calgary Flames,4
140,2021-02-02,Chicago Blackhawks,3,Carolina Hurricanes,4
157,2021-02-05,Anaheim Ducks,4,San Jose Sharks,5
162,2021-02-06,Anaheim Ducks,2,San Jose Sharks,1
177,2021-02-08,St. Louis Blues,3,Arizona Coyotes,4
182,2021-02-09,Los Angeles Kings,3,San Jose Sharks,4
194,2021-02-11,New York Islanders,3,Pittsburgh Penguins,4
202,2021-02-13,Dallas Stars,3,Carolina Hurricanes,4
232,2021-02-18,Arizona Coyotes,2,Los Angeles Kings,3
235,2021-02-18,Philadelphia Flyers,2,New York Rangers,3
268,2021-02-23,Columbus Blue Jackets,5,Chicago Blackhawks,6
271,2021-02-23,Ottawa Senators,5,Montreal Canadiens,4
274,2021-02-24,Arizona Coyotes,4,Anaheim Ducks,3
299,2021-02-27,Florida Panthers,3,Carolina Hurricanes,4
330,2021-03-03,Boston Bruins,1,Washington Capitals,2
347,2021-03-05,Chicago Blackhawks,4,Tampa Bay Lightning,3
365,2021-03-07,Calgary Flames,3,Ottawa Senators,4
367,2021-03-07,Dallas Stars,3,Nashville Predators,4
376,2021-03-08,Vancouver Canucks,2,Montreal Canadiens,1
381,2021-03-09,New York Islanders,2,Boston Bruins,1
382,2021-03-09,Philadelphia Flyers,5,Buffalo Sabres,4
418,2021-03-14,Columbus Blue Jackets,1,Dallas Stars,2
422,2021-03-14,New Jersey Devils,2,New York Islanders,3
434,2021-03-16,Dallas Stars,3,Tampa Bay Lightning,4
443,2021-03-17,Ottawa Senators,2,Vancouver Canucks,3
458,2021-03-19,San Jose Sharks,1,St. Louis Blues,2
462,2021-03-20,Carolina Hurricanes,2,Columbus Blue Jackets,3
467,2021-03-20,Montreal Canadiens,5,Vancouver Canucks,4
474,2021-03-21,Dallas Stars,3,Nashville Predators,4
487,2021-03-23,Arizona Coyotes,5,Colorado Avalanche,4
533,2021-03-29,San Jose Sharks,4,Minnesota Wild,3
536,2021-03-30,Boston Bruins,5,New Jersey Devils,4
556,2021-04-01,Vegas Golden Knights,2,Minnesota Wild,3
562,2021-04-02,Winnipeg Jets,1,Toronto Maple Leafs,2
564,2021-04-03,Buffalo Sabres,3,New York Rangers,2
571,2021-04-03,New York Islanders,3,Philadelphia Flyers,2
590,2021-04-06,Detroit Red Wings,2,Nashville Predators,3
607,2021-04-08,New York Islanders,3,Philadelphia Flyers,2
618,2021-04-10,Carolina Hurricanes,4,Detroit Red Wings,5
631,2021-04-11,Nashville Predators,3,Dallas Stars,2
642,2021-04-13,Boston Bruins,3,Buffalo Sabres,2
659,2021-04-15,Pittsburgh Penguins,1,Philadelphia Flyers,2
686,2021-04-19,Dallas Stars,3,Detroit Red Wings,2
691,2021-04-19,Vegas Golden Knights,3,San Jose Sharks,2
707,2021-04-22,New York Islanders,0,Washington Capitals,1
731,2021-04-25,Philadelphia Flyers,4,New Jersey Devils,3
742,2021-04-27,Columbus Blue Jackets,1,Detroit Red Wings,0
777,2021-05-01,Detroit Red Wings,1,Tampa Bay Lightning,0
801,2021-05-04,Buffalo Sabres,4,New York Islanders,3
813,2021-05-05,St. Louis Blues,2,Anaheim Ducks,3
4,2021-10-13,Edmonton Oilers,3,Vancouver Canucks,2
18,2021-10-15,Philadelphia Flyers,4,Vancouver Canucks,5
20,2021-10-16,Buffalo Sabres,2,Arizona Coyotes,1
46,2021-10-19,Pittsburgh Penguins,1,Dallas Stars,2
75,2021-10-23,Tampa Bay Lightning,3,Colorado Avalanche,4
114,2021-10-29,Vegas Golden Knights,5,Anaheim Ducks,4
116,2021-10-30,Boston Bruins,3,Florida Panthers,2
120,2021-10-30,Nashville Predators,3,New York Islanders,2
129,2021-10-31,New Jersey Devils,3,Columbus Blue Jackets,4
142,2021-11-02,Winnipeg Jets,4,Dallas Stars,3
146,2021-11-03,Los Angeles Kings,3,St. Louis Blues,2
168,2021-11-06,Pittsburgh Penguins,4,Minnesota Wild,5
169,2021-11-06,San Jose Sharks,2,New Jersey Devils,3
183,2021-11-09,Chicago Blackhawks,3,Pittsburgh Penguins,2
190,2021-11-09,Winnipeg Jets,2,St. Louis Blues,3
200,2021-11-11,Pittsburgh Penguins,3,Florida Panthers,2
225,2021-11-14,New York Rangers,4,New Jersey Devils,3
246,2021-11-18,Arizona Coyotes,4,Columbus Blue Jackets,5
248,2021-11-18,Edmonton Oilers,2,Winnipeg Jets,1
252,2021-11-18,Philadelphia Flyers,3,Tampa Bay Lightning,4
275,2021-11-21,Tampa Bay Lightning,5,Minnesota Wild,4
293,2021-11-24,New Jersey Devils,2,Minnesota Wild,3
329,2021-11-29,Calgary Flames,2,Pittsburgh Penguins,1
335,2021-11-30,Los Angeles Kings,4,Anaheim Ducks,5
339,2021-11-30,St. Louis Blues,4,Tampa Bay Lightning,3
341,2021-12-01,Detroit Red Wings,4,Seattle Kraken,3
355,2021-12-02,Washington Capitals,3,Chicago Blackhawks,4
356,2021-12-03,Anaheim Ducks,3,Calgary Flames,4
364,2021-12-04,Florida Panthers,4,St. Louis Blues,3
365,2021-12-04,Minnesota Wild,4,Toronto Maple Leafs,3
373,2021-12-05,New York Islanders,2,Chicago Blackhawks,3
378,2021-12-06,New Jersey Devils,2,Ottawa Senators,3
382,2021-12-06,Washington Capitals,4,Anaheim Ducks,3
395,2021-12-08,Vancouver Canucks,2,Boston Bruins,1
397,2021-12-09,Columbus Blue Jackets,1,Anaheim Ducks,2
411,2021-12-10,Vancouver Canucks,4,Winnipeg Jets,3
415,2021-12-11,Buffalo Sabres,2,Washington Capitals,3
449,2021-12-16,Minnesota Wild,2,Buffalo Sabres,3
450,2021-12-16,Montreal Canadiens,3,Philadelphia Flyers,2
458,2021-12-17,New York Rangers,2,Vegas Golden Knights,3
468,2021-12-19,New York Islanders,3,Vegas Golden Knights,4
474,2021-12-28,San Jose Sharks,8,Arizona Coyotes,7
483,2021-12-30,Columbus Blue Jackets,4,Nashville Predators,3
485,2021-12-30,Los Angeles Kings,2,Vancouver Canucks,1
491,2021-12-31,Tampa Bay Lightning,3,New York Rangers,4
524,2022-01-06,Dallas Stars,6,Florida Panthers,5
539,2022-01-08,Minnesota Wild,3,Washington Capitals,2
543,2022-01-09,Anaheim Ducks,4,Detroit Red Wings,3
554,2022-01-11,Vegas Golden Knights,3,Toronto Maple Leafs,4
569,2022-01-14,Colorado Avalanche,4,Arizona Coyotes,3
588,2022-01-17,Colorado Avalanche,4,Minnesota Wild,3
590,2022-01-17,Seattle Kraken,3,Chicago Blackhawks,2
